Subject,Predicate,Object
:DIMENSION2,cidoc:P91 has unit,"""cm""^^xsd:string"
:GROUP1,rdf:type,cidoc:E74 Group
:PAINTING11,cidoc:P94 was created by ,:CREATION6
:CREATION6,rdf:type,cidoc:E65 Creation
:CREATION6,cidoc: P4 has time-span,:TIMESPAN5
:TIMESPAN5,rdf:type,cidoc:E52 Time-Span
:TIMESPAN5,cidoc:P81 ongoing throughout,:TIMEPRIMITIVE5
:TIMEPRIMITIVE5,rdf:type,cidoc:E61 Time Primitive
:TIMEPRIMITIVE5,rdfs:label,"""1470""^^xsd:date"
:MOVIE1,cidoc:P94 was created by ,:CREATION2
:CREATION2,rdf:type,cidoc:E65 Creation
:CREATION2,cidoc: P4 has time-span,:TIMESPAN1
:TIMESPAN1,rdf:type,cidoc:E52 Time-Span
:TIMESPAN1,cidoc:P81 ongoing throughout,:TIMEPRIMITIVE4
:TIMEPRIMITIVE4,rdf:type,cidoc:E61 Time Primitive
:TIMEPRIMITIVE4,rdfs:label,"""1922""^^xsd:date"
:CITY2,rdf:type,schema:Place
:OCCUPATION11,rdfs:label,"""Painter""^^xsd:string"
:OCCUPATION11,rdf:type,cidoc:E55 Type
:ACTIVITY1,cidoc: P20 had specific purpose,:ACQUISITION1
:ACTIVITY1,rdf:type,cidoc:E7 Activity
:ACQUISITION1,rdf:type,cidoc:E8 Acquisition
:ACQUISITION1,cidoc: P4 has time-span,:TIMESPAN2
:TIMESPAN2,rdf:type,cidoc:E52 Time-Span
:TIMESPAN2,cidoc:P81 ongoing throughout,:TIMEPRIMITIVE1
:TIMEPRIMITIVE1,rdf:type,cidoc:E61 Time Primitive
:TIMEPRIMITIVE1,rdfs:label,"""1959""^^xsd:date"
:ORGANIZATION3,schema:foundingDate,"""696""^^xsd:date"
:MAP1,cidoc:P94 was created by ,:CREATION1
:CREATION1,rdf:type,cidoc:E65 Creation
:CREATION1,cidoc: P4 has time-span,:TIMESPAN3
:TIMESPAN3,rdf:type,cidoc:E52 Time-Span
:TIMESPAN3,cidoc:P81 ongoing throughout,:TIMEPRIMITIVE3
:TIMEPRIMITIVE3,rdf:type,cidoc:E61 Time Primitive
:TIMEPRIMITIVE3,rdfs:label,"""1300""^^xsd:date"
:CITY1,rdfs:label,"""Hereford (Wales, United Kingdom)""^^xsd:string"
:CITY1,rdf:type,schema:Place
:MAP1,dcterms:PyhsicalMedium,:MEDIUM1
:MEDIUM1,rdfs:label,"""pen and ink on parchment""^^xsd:string"
:PERSON8,foaf:name,"""Friedrich W. Murnau""^^xsd:string"
:PERSON11,foaf:name,"""Richard of Haldingham and Lafford""^^xsd:string"
:PERSON31,foaf:name,"""Ricardus de Bello""^^xsd:string"
:PERSON31,dcterms:identifier,VIAF:298515650
:PERSON4,dcterms:identifier,VIAF: 39395712
:INFORMATION_OBJECT1,geo:has centroid,:POINT1
:POINT1,rdf:type,dcterms:Point
:POINT1,foaf:name,"""Jerusalem""^^xsd:string"
:MAP1,cidoc:P165 incorporates,:INFORMATION_OBJECT1
:INFORMATION_OBJECT1,rdf:type,cidoc:E73 Information Object
:INFORMATION_OBJECT1,dcterms:description,"""East Orientation""^^xsd:string"
:MEDIUM1,rdf:type,dcterms:PhysicalMedium
:MEDIUM2,rdf:type,dcterms:PhysicalMedium
:CREATURESGROUP3,rdf:type,cidoc:E28 Conceptual Object
:MONUMENT1,cidoc: P129 is about,:CREATURESGROUP3
:MONUMENT1,rdf:type,cidoc:Physical Human-Made Thing
:MONUMENT1,rdf:type,schema:LandmarksOrHistoricalBuildings
:MONUMENT1,cidoc:P102 has title,:TITLE47
:TITLE47,rdf:type,cidoc:E35 Title
:TITLE47,rdfs:label,"""Gardens of Bomarzo""^^xsd:string"
:CREATION19,cidoc:p94 has created,:MONUMENT1
:CREATION19,rdf:type,cidoc:E65 Creation
:PERSON34,rdf:type,cidoc:E21 Person
:PERSON34,rdf:type,schema:Person
:PERSON34,schema:birthDate,"""1523-7-4""^^xsd:date"
:PERSON34,schema:deathDate,"""1583-1-28""^^xsd:date"
:PERSON34,schema:nationality,:COUNTRY12
:COUNTRY12,schema:name,"""Italy""^^xsd:string"
:COUNTRY12,rdf:type,schema:Country
:PERSON34,schema:hasOccupation,:OCCUPATION13
:OCCUPATION13,rdf:type,schema:Occupation
:OCCUPATION13,schema:name,"""Politician""^^xsd:string"
:CREATION19,cidoc:P14 carried out by,:PERSON33
:PERSON33,rdf:type,cidoc:E21 Person
:PERSON33,rdf:type,schema:Person
:MONUMENT1,cidoc:P51 has former or current owner,:PERSON34
:MONUMENT1,cidoc:P43 has dimension,:DIMENSION14
:DIMENSION14,cidoc:P91 has unit,"""square metres""^^xsd:string"
:DIMENSION14,cidoc:P90 has value,"""50000""^^xsd:integer"
:DIMENSION14,rdf:type,cidoc:E54 Dimension
:MONUMENT1,schema:location,:PLACE14
:PLACE14,rdf:type,schema:City
:PLACE14,schema:name,"""Bomarzo""^^xsd:string"
:CREATURESGROUP4,rdf:type,cidoc:E28 Conceptual Object
:WORK18,cidoc:P129 is about,:CREATURESGROUP4
:WORK18,rdf:type,lrmoo:F1 Work
:WORK18,rdf:type,schema:Game
:EXPRESSION18,cidoc:P102 has title,:TITLE18
:TITLE18,rdf:type,cidoc:E35 Title
:TITLE18,rdfs:label,"""Cryptid""^^xsd:string"
:WORK18,lrmoo:R16 was created by,:CREATION18
:CREATION18,rdf:type,lrmoo:F27 Work Creation
:CREATION18,cidoc:P14 carried out by,:PERSON18
:PERSON18,rdf:type,cidoc:E21 Person
:PERSON18,cidoc:P1 is identified by,:APPELLATION18
:APPELLATION18,rdf:type,cidoc:E41 Appellation
:APPELLATION18,rdfs:label,"""Ruth Veevers""^^xsd:string"
:CREATION18,cidoc:P14 carried out by,:PERSON19
:PERSON19,rdf:type,cidoc:E21 Person
:PERSON19,cidoc:P1 is identified by,:APPELLATION19
:APPELLATION19,rdf:type,cidoc:E41 Appellation
:APPELLATION19,rdfs:label,"""Hal Duncan""^^xsd:string"
:WORK18,lrmoo:R3,:EXPRESSION18
:EXPRESSION18,rdf:type,lrmoo:F2 Expression
:MANIFESTATION18,lrmoo:R4,:EXPRESSION18
:MANIFESTATION18,rdf:type,lrmoo:F3 Manifestation
:ITEM18,lrmoo:R7,:MANIFESTATION18
:ITEM18,rdf:type,lrmoo:F5 Item
:MANIFESTATION18,cidoc:P43 has dimension,:DIMENSION4
:DIMENSION4,cidoc:P91 has unit,"""cm""^^xsd:string"
:DIMENSION4,cidoc:P90 has value,"""27x19x7""^^xsd:string"
:DIMENSION4,rdf:type,cidoc:E54 Dimension
:MANIFESTATION18,schema:publisher,:PUBLISHER18
:PUBLISHER18,rdf:type,schema:Organization
:PUBLISHER18,rdfs:label,"""playagame""^^xsd:string"
:MANIFESTATION18,dcterms:medium,:MEDIUM3
:MEDIUM3,rdf:type,dcterms:PhysicalMedium
:MEDIUM3,rdfs:label,"""Cardboard and wood""^^xsd:string"
:MANIFESTATION18,cidoc:P1 is identified by,:ID18
:ID18,rdf:type,cidoc:E42 Identifier
:ID18,rdfs:label,"""EAN 6379137151508""^^xsd:string"
:MANIFESTATION18,dcterms:issued,"""2018""^^xsd:date"
:EXPRESSION18,cidoc:P72 has language,:LANGUAGE18
:LANGUAGE18,rdf:type,cidoc:E56 Language
:LANGUAGE18,rdfs:label,"""Ita""^^xsd:string"
:MANIFESTATION18,dcterms:coverage,:COUNTRY18
:COUNTRY18,schema:name,"""Italy""^^xsd:string"
:COUNTRY18,rdf:type,schema:Country
:WORK38,rdf:type,lrmoo:F1 Work
:WORK38,lrmoo:R3,:EXPRESSION38
:EXPRESSION38,rdf:type,lrmoo:F2 Expression
:MANIFESTATION38,lrmoo:R4,:EXPRESSION38
:MANIFESTATION38,rdf:type,lrmoo:F3 Manifestation
:ITEM38,lrmoo:R7,:MANIFESTATION38
:ITEM38,rdf:type,lrmoo:F5 Item
:WORK38,rdf:type,schema:CreativeWork
:WORK38,schema:genre,"""ballet""^^xsd:string"
:CREATION38,rdf:type,lrmoo:F27 Work Creation
:CREATION38,cidoc:P14 carried out by,:PERSON38
:PERSON38,rdf:type,cidoc:E21 Person
:PERSON38,cidoc:P1 is identified by,:APPELLATION38
:APPELLATION38,rdf:type,cidoc:E41 Appellation
:APPELLATION38,rdfs:label,"""Igor Stravinskij""^^xsd:string"
:WORK38,lrmoo:R16 was created by,:CREATION38
:PERSON38,schema:birthDate,"""1882-6-17""^^xsd:date"
:PERSON38,schema:deathDate,"""1971-4-6""^^xsd:date"
:PERSON38,owl:sameAs,VIAF:17309155
:PERSON38,schema:hasOccupation,:OCCUPATION38
:OCCUPATION38,rdf:type,schema:Occupation
:OCCUPATION38,schema:name,"""Pianist""^^xsd:string"
:PERSON38,schema:hasOccupation,:OCCUPATION39
:OCCUPATION39,rdf:type,schema:Occupation
:OCCUPATION39,schema:name,"""Composer""^^xsd:string"
:PERSON38,schema:hasOccupation,:OCCUPATION40
:OCCUPATION40,rdf:type,schema:Occupation
:OCCUPATION40,schema:name,"""Conductor""^^xsd:string"
:PERSON38,schema:nationality,:COUNTRY38
:COUNTRY38,schema:name,"""Russia""^^xsd:string"
:COUNTRY38,rdf:type,schema:Country
:MANIFESTATION38,rdf:type,schema:MusicRecording
:MANIFESTATION38,dcterms:issued,"""1969""^^xsd:date"
:MANIFESTATION38,cidoc:P1 is identified by,:ID38
:ID38,rdf:type,cidoc:E42 Identifier
:ID38,rdfs:label,"""oai:bncrm.librari.beniculturali.it:disco/BVE0235778/1""^^xsd:string"
:EXPRESSION38,cidoc:P102 has title,:TITLE38
:TITLE38,rdf:type,cidoc:E35 Title
:TITLE38,rdfs:label,"""The Firebird""^^xsd:string"
:MANIFESTATION38,cidoc:P102 has title,:TITLE39
:TITLE39,rdf:type,cidoc:E35 Title
:TITLE39,rdfs:label,"""The Firebird: Complete Ballet""^^xsd:string"
:MANIFESTATION38,cidoc:P43 has dimension,:DIMENSION10
:DIMENSION10,cidoc:P91 has unit,"""cm""^^xsd:string"
:DIMENSION10,cidoc:P90 has value,"""30""^^xsd:integer"
:DIMENSION10,rdf:type,cidoc:E54 Dimension
:MANIFESTATION38,dcterms:format,:FORMAT39
:FORMAT39,rdf:type,dcterms:MediaType
:FORMAT39,rdfs:label,"""1 audio disc: 33 1/3 rpm, stereo""^^xsd:string"
:ITEM38,cidoc:P50 has current keeper,:ORGANIZATION38
:ORGANIZATION38,schema:foundingDate,"""1876""^^xsd:date"
:ORGANIZATION38,rdf:type,schema:Organization
:ORGANIZATION38,cidoc:P1 is identified by,:APPELLATION40
:APPELLATION40,rdf:type,cidoc:E41 Appellation
:APPELLATION40,rdfs:label,"""National Central Library of Rome""^^xsd:string"
:ORGANIZATION38,owl:sameAs,VIAF:135425969
:ORGANIZATION38,cidoc:P74 has current or former residence,:PLACE38
:PLACE38,schema:foundingDate,"""1975""^^xsd:date"
:PLACE38,rdf:type,cidoc:E53 Place
:PLACE38,cidoc: P1 is identified by,:APPELLATION39
:APPELLATION39,rdfs:label,"""National Central Library of Rome""^^xsd:string"
:ORGANIZATION38,rdf:type,cidoc:E39 Actor
:PLACE38,schema:containedInPlace,:COUNTRY39
:COUNTRY39,rdf:type,schema:Country
:COUNTRY39,schema:name,"""Italy""^^xsd:string"
:PLACE38,wikidata: P84 architect,:PERSON381
:PERSON381,schema:name,"""Tullio Dell'Anese""^^xsd:string"
:PERSON381,rdf:type,cidoc:E21 Person
:PERSON381,rdf:type,schema:Person
:PLACE38,wikidata: P84 architect,:PERSON382
:PERSON382,schema:name,"""Massimo Castellazzi""^^xsd:string"
:PERSON382,rdf:type,cidoc:E21 Person
:PERSON382,rdf:type,schema:Person
:PLACE38,wikidata: P84 architect,:PERSON383
:PERSON383,schema:name,"""Annibale Vitellozzi""^^xsd:string"
:PERSON383,rdf:type,cidoc:E21 Person
:PERSON383,rdf:type,schema:Person
:PLACE38,cidoc: P1 is identified by,:APPELLATION391
:APPELLATION391,rdfs:label,"""Via Castro Pretorio 105, Rome, Italy""^^xsd:string"
:WORK38,cidoc:P129 is about,:SPECIFICCREATURE3
:SPECIFICCREATURE3,rdf:type,cidoc:E28 Conceptual Object
:SPECIFICCREATURE3,cidoc:P1 is identified by,:APPELLATION11
:APPELLATION11,rdf:type,cidoc:E41 Appellation
:APPELLATION11,rdfs:label,"""Phoenix""^^xsd:string"
:SPECIFICCREATURE1,rdf:type,cidoc:E28 Conceptual Object
:SPECIFICCREATURE1,cidoc:P1 is identified by,:APPELLATION28
:APPELLATION28,rdf:type,cidoc:E41 Appellation
:APPELLATION28,rdfs:label,"""Umi-bozu""^^xsd:string"
:PRINT1,cidoc:P129 is about,:SPECIFICCREATURE1
:CREATION50,cidoc:P4 has time-span,:TIMESPAN50
:TIMESPAN50,cidoc:P82 at some time within,:TIMEPRIMITIVE50
:TIMESPAN50,rdf:type,cidoc:E52 Time-Span
:TIMEPRIMITIVE50,rdf:type,cidoc:E61 Time Primitive
:TIMEPRIMITIVE50,rdfs:label,"""1843-1845""^^xsd:string"
:PRINT1,rdf:type,cidoc:Physical Human-Made Object
:PRINT1,rdf:type,schema:VisualArtwork
:PRINT1,cidoc:P102 has title,:TITLE50
:TITLE50,rdf:type,cidoc:E35 Title
:TITLE50,rdfs:label,"""Kuwana: The Story of the Sailor Tokuzo, from the series Fifty-three Parallels for the Tokaido""^^xsd:string"
:PRINT1,schema: countryOfOrigin,:COUNTRY50
:COUNTRY50,rdf:type,schema:Country
:COUNTRY50,rdfs:label,"""Japan""^^xsd:string"
:PRINT1,cidoc:P43 has dimension,:DIMENSION50
:DIMENSION50,cidoc:P91 has unit,"""mm""^^xsd:string"
:DIMENSION50,cidoc:P90 has value,"""353x236""^^xsd:string"
:DIMENSION50,rdf:type,cidoc:E54 Dimension
:PRINT1,cidoc:P1 is identified by,:ID50
:ID50,rdf:type,cidoc:E42 Identifier
:ID50,rdfs:label,"""2004.52""^^xsd:string"
:PRINT1,dcterms:medium,:MEDIUM50
:MEDIUM50,rdf:type,dcterms:PhysicalMedium
:MEDIUM50,rdfs:label,"""Color woodcut""^^xsd:string"
:PRINT1,cidoc:P50 has current keeper,:ORGANIZATION50
:ORGANIZATION50,owl:sameAs,VIAF:17309155
:ORGANIZATION50,rdf:type,schema:Organization
:ORGANIZATION50,rdf:type,cidoc:E39 Actor
:ORGANIZATION50,cidoc:P1 is identified by,:APPELLATION53
:APPELLATION53,rdf:type,cidoc:E41 Appellation
:APPELLATION53,rdfs:label,"""Chazen Museum of Art""^^xsd:string"
:ORGANIZATION50,cidoc: P74 has current or former residence,:PLACE50
:PLACE50,cidoc:P1 is identified by,:APPELLATION51
:APPELLATION51,rdf:type,cidoc:E41 Appellation
:APPELLATION51,rdfs:label,"""Chazen Building""^^xsd:string"
:PLACE50,rdf:type,cidoc:E53 Place
:PLACE50,cidoc:P1 is identified by,:APPELLATION52
:APPELLATION52,rdf:type,cidoc:E41 Appellation
:APPELLATION52,rdfs:label,"""750 University Avenue, Madison, Wisconsin""^^xsd:string"
:PLACE50,schema:containedInPlace,:COUNTRY52
:COUNTRY52,rdf:type,schema:Country
:COUNTRY52,schema:name,"""USA""^^xsd:string"
:PLACE50,wikidata: P84 architect,:PERSON52
:PERSON52,schema:name,"""Machado Silvetti""^^xsd:string"
:PERSON52,rdf:type,cidoc:E21 Person
:PERSON52,rdf:type,schema:Person
:PLACE50,schema:geo,:COORDINATES50
:COORDINATES50,rdf:type,schema:GeoCoordinates
:COORDINATES50,schema:latitude,"""43°04′25.99″N""^^xsd:string"
:COORDINATES50,schema:longitude,"""89°23′58.68″W""^^xsd:string"
:CREATION50,cidoc:P49 has created,:PRINT1
:CREATION50,rdf:type,cidoc:E65 Creation
:CREATION50,cidoc:P14 carried out by,:PERSON35
:PERSON35,rdf:type,schema:Person
:PERSON35,rdf:type,cidoc:E21 Person
:PERSON35,schema:birthDate,"""1798-1-1""^^xsd:date"
:PERSON35,schema:deathDate,"""1861-4-14""^^xsd:date"
:PERSON35,cidoc:P1 is identified by,:APPELLATION50
:APPELLATION50,rdf:type,cidoc:E41 Appellation
:APPELLATION50,rdfs:label,"""Utagawa Kuniyoshi""^^xsd:string"
:PERSON35,schema:nationality,:COUNTRY53
:COUNTRY53,schema:name,"""Japan""^^xsd:string"
:COUNTRY53,rdf:type,schema:Country
:PERSON35,owl:sameAs,VIAF:32791569
:PERSON35,schema:hasOccupation,:OCCUPATION12
:OCCUPATION12,rdf:type,schema:Occupation
:OCCUPATION12,schema:name,"""Painter""^^xsd:string"
:LEGENDARY_CREATURE1,rdf:type,cidoc:E28 Conceptual Object
::CREATURESGROUP1,rdf:type,cidoc:E28 Conceptual Object
:SPECIFICCREATURE1,rdf:type,:LEGENDARY_CREATURES
:WORK1,lrmoo:R3,:EXPRESSION1
:MANIFESTATION1,lrmoo:R4,:EXPRESSION1
:ITEM3,lrmoo:R7,:MANIFESTATION1
:MANIFESTATION1,rdf:type,lrmoo:F3 Manifestation
:EXPRESSION1,rdf:type,lrmoo:F2 Expression
:WORK1,rdf:type,lrmoo:F1 Work
:ITEM3,rdf:type,lrmoo:F5 Item
:WORK1,lrmoo:R3,:EXPRESSION2
:WORK1,lrmoo:R16 was created by,:CREATION4
:CREATION4,rdf:type,lrmoo:F27 Work Creation
:CREATION4,cidoc:P14 carried out by,:PERSON1
:PERSON1,rdf:type,cidoc:E21 Person
:EXPRESSION2,rdf:type,lrmoo:F2 Expression
:PERSON1,cidoc:P1 is identified by,:APPELLATION1
:APPELLATION1,rdf:type,cidoc:E41 Appellation
:APPELLATION1,rdfs:label,"""Ulisse Aldrovandi""^^xsd:string"
:PERSON1,owl:sameAs,VIAF:100190422
:PAINTING1,rdf:type,cidoc:E22 Human-Made Object
:PAINTING1,cidoc:P65 shows visual item,:VISUALITEM1
:VISUALITEM1,rdf:type,cidoc:E36 Visual Item
:VISUALITEM1,cidoc:P138 represents,:PERSON1
:VISUALITEM1,cidoc:P2 has type,:PAINTINGTYPE1
:PAINTINGTYPE1,rdf:type,cidoc:E55 Type
:PAINTINGTYPE1,skos:exactMatch,aat:300015637 (Portraits)
:PAINTING1,dcterms:creator,:PERSON2
:PERSON2,rdf:type,cidoc:E21 Person
:PERSON2,cidoc:P1 is identified by,:APPELLATION29
:APPELLATION29,rdf:type,cidoc:E41 Appellation
:APPELLATION29,rdfs:label,"""Agostino Carracci""^^xsd:string"
:PERSON2,owl:sameAs,VIAF:61617497
:PAINTING1,cidoc:P102 has title,:TITLE1
:TITLE1,rdf:type,cidoc:E35 Title
:TITLE1,rdfs:label,"""Portrait of Ulisse Aldrovandi""^^xsd:string"
:PAINTING1,schema:image,wkm:Special:FilePath/Ulysse_Aldrovandi.jpg
:PERSON1,schema:birthDate,"""1522-11-09""^^xsd:date"
:PERSON1,schema:deathDate,"""1605-05-04""^^xsd:date"
:EXPRESSION1,cidoc:P102 has title,:TITLE5
:TITLE5,rdf:type,cidoc:E35 Title
:TITLE5,rdfs:label,"""Monstrorum Historia""^^xsd:string"
:MANIFESTATION1,cidoc:P102 has title,:TITLE3
:TITLE3,rdf:type,cidoc:E35 Title
:TITLE3,rdfs:label,"""Monstrorum Historia""^^xsd:string"
:MANIFESTATION1,cidoc:P43 has dimension,:DIMENSION1
:DIMENSION1,rdf:type,cidoc:E54 Dimension
:DIMENSION1,cidoc:P90 has value,"""28""^^xsd:integer"
:DIMENSION1,cidoc:P91 has unit,"""cm""^^xsd:string"
:MANIFESTATION1,cidoc:P1 is identified by,:ID1
:ID1,rdf:type,cidoc:E42 Identifier
:ID1,rdfs:label,"""ISBN 9788831982290""^^xsd:string"
:MANIFESTATION1,schema:publisher,:PUBLISHER2
