subject,Predicate,Object
:ID,rdfs:label,"""ISBN 9788831982290""^^xsd:string"
:MANIFESTATION1,schema:publisher,:PUBLISHER2
:PUBLISHER2,rdf:type,schema:Organization
:PUBLISHER2,rdfs:label,"""Moscabianca Edizioni""^^xsd:string"
:PLACE3,rdf:type,cidoc:E53 Place
:ORGANIZATION1,cidoc:P1 is identified by,:APPELLATION7
:APPELLATION7,rdf:type,cidoc:E41 Appellation
:APPELLATION7,rdfs:label,"""Biblioteca Sala Borsa""^^xsd:string"
:PLACE3,cidoc: P89 falls within,:PLACE2
:PLACE2,rdf:type,cidoc:E53 Place
:APPELLATION5,rdf:type,cidoc:E41 Appellation
:APPELLATION5,rdfs:label,"""Italy""^^xsd:string"
:PLACE2,cidoc:P1 is identified by,:APPELLATION5
:ITEM3,cidoc:P50 has current keeper,:ORGANIZATION1
:ORGANIZATION1,rdf:type,schema:Organization
:ORGANIZATION1,rdf:type,cidoc:E39 Actor
:ORGANIZATION1,cidoc: P74 has current or former residence,:PLACE3
:APPELLATION6,rdfs:label,"""Biblioteca Sala Borsa""^^xsd:string"
:PLACE3,cidoc: P1 is identified by,:APPELLATION6
:PLACE3,schema:image,"https://commons.wikimedia.org/wiki/File:Bologna,_Urban_Center_Bologna.jpg"
:ORGANIZATION1,schema:foundingDate,"""2001-01-01""^^xsd:date"
:PLACE3,schema:geo,:COORDINATES2
:COORDINATES2,rdf:type,schema:GeoCoordinates
:COORDINATES2,schema:latitude,"44°29'40.63""N11°20'33.22""E"
:COORDINATES2,schema:longitude,"11°20'33.22""E"
:WORK,cidoc:P129 is about,:CREATURESGROUP1
:CREATURESGROUP1,rdf:type,cidoc:E28 Conceptual Object
:SPECIFICCREATURE,rdf:type,cidoc:E28 Conceptual Object
:APPELLATION8,rdf:type,cidoc:E41 Appellation
:APPELLATION8,rdfs:label,"""Kraken""^^xsd:string"
:SPECIFICCREATURE,cidoc:P1 is identified by,:APPELLATION8
:SCULPTURE,cidoc: P129 is about,:SPECIFICCREATURE
:SCULPTURE,rdf:type,schema:Sculpture
:SCULPTURE,cidoc:P102 has title,:TITLE4
:TITLE4,rdf:type,cidoc:E35 Title
:TITLE4,rdfs:label,"""Kraken-Migof""^^xsd:string"
:SCULPTURE,rdf:type,cidoc:Human-Made Object
:SCULPTURE,cidoc:P45 consists of,:MATERIAL1
:MATERIAL1,rdf:type,cidoc:E55 Material
:MATERIAL1,rdfs:label,"""bronze""^^xsd:string"
:CREATION3,cidoc:p94 has created,:SCULPTURE
:CREATION3,rdf:type,cidoc:E65 Creation
:CREATION3,cidoc: P4 has time-span,:TIMESPAN4
:TIMESPAN4,rdf:type,cidoc:E52 Time-Span
:TIMESPAN4,cidoc:P81 ongoing throughout,:TIMEPRIMITIVE2
:TIMEPRIMITIVE2,rdf:type,cidoc:E61 Time Primitive
:TIMEPRIMITIVE2,rdfs:label,"""1992"""
:SCULPTURE,cidoc:P43 has dimension,:DIMENSION5
:DIMENSION5,rdf:type,cidoc:E54 Dimension
:DIMENSION5,cidoc:P90 has value,"""166x302x302""^^xsd:integer"
:DIMENSION5,cidoc:P91 has unit,"""cm""^^xsd:string"
:CREATION3,cidoc:P14 carried out by,:PERSON5
:PERSON5,rdf:type,schema:Person
:PERSON5,rdf:type,cidoc:E21 Person
:PERSON5,schema:birthDate,"""1915-05-31""^^xsd:date"
:PERSON5,schema:deathDate,"""2005-04-14""^^xsd:date"
:MANIFESTATION1,dcterms:contributor,:PERSON12
:PERSON12,rdf:type,dcterms:Agent
:MANIFESTATION1,dcterms:extent,:DIMENSION5
:DIMENSION5,rdfs:label,"""319 pages""^^xsd:string"
:DIMENSION5,rdf:type,dcterms:SizeOrDuration
:PERSON12,foaf:name,"""Lorenzo Peka""^^xsd:string"
:MANIFESTATION1,dcterms:issued,"""2022""^^xsd:date"
:PERSON5,schema:nationality,:COUNTRY1
:COUNTRY1,rdf:type,schema:Country
:COUNTRY1,schema:name,"""Germany""^^xsd:string"
:PERSON5,schema:hasOccupation,:OCCUPATION1
:OCCUPATION1,rdf:type,schema:Occupation
:OCCUPATION1,schema:name,"""Sculptor""^^xsd:string"
:PERSON5,schema:image,"""wiki-commons:Special:FilePath/BernardSchultze1968.jpg"""
:PERSON5,owl:sameAs,http://viaf.org/viaf/116342077
:SCULPTURE,cidoc:P50 has current keeper,:ORGANIZATION4
:ORGANIZATION4,rdf:type,cidoc:E39 Actor
:ORGANIZATION4,cidoc:P1 is identified by,:APPELLATION7
:APPELLATION7,rdf:type,cidoc:E41 Appellation
:APPELLATION7,rdfs:label,"""Museum Reinhard Ernst""^^xsd:string"
:ORGANIZATION4,schema:organization,cidoc:E39 Actor
:PLACE1,schema:geo,:COORDINATES
:COORDINATES,rdf:type,schema:GeoCoordinates
:COORDINATES,schema:latitude,"44°29'40.63""N11°20'33.22""E"
:COORDINATES,schema:longitude,"11°20'33.22""E"
:ORGANIZATION4,schema:location,:PLACE1
:PLACE1,rdf:type,schema:Place
:ORGANIZATION4,owl:sameAs,https://viaf.org/viaf/3550165709973649380005/
:PLACE1,wikidata:P1619 date of official opening,"""2024-06-23""^^xsd:date"
:PLACE1,schema:name,"""Museum Reinhard Ernst""^^xsd:string"
:PLACE1,schema:containedInPlace,:COUNTRY3
:COUNTRY3,rdf:type,schema:Country
:COUNTRY3,schema:name,"""Germany""^^xsd:string"
:PLACE1,wikidata: P84 architect,:PERSON10
:PLACE1,rdf:type,wikidata:Q207694 art museum
:PERSON10,rdf:type,schema:Person
:PERSON10,schema:hasOccupation,"""Architect""^^xsd:string"
:PERSON10,schema:name,"""Fumihiko Maki""^^xsd:string"
:PERSON10,owl:sameAs,"""https://viaf.org/en/viaf/95869911"""
:WORK2,lrmoo:R3,:EXPRESSION4
:MANIFESTATION2,lrmoo:R4,:EXPRESSION4
:ITEM2,lrmoo:R7,:MANIFESTATION2
:MANIFESTATION2,rdf:type,lrmoo:F3 Manifestation
:EXPRESSION4,rdf:type,lrmoo:F2 Expression
:WORK2,rdf:type,lrmoo:F1 Work
:ITEM2,rdf:type,lrmoo:F5 Item
:CREATURESGROUP2,predicate,cidoc:E28 Conceptual Object
:WORK2,cidoc:P129 is about,:CREATURESGROUP2
:EXPRESSION4,cidoc:P102 has title,:TITLE6
:TITLE6,rdf:type,cidoc:E35 Title
:TITLE6,rdfs:label,"""The Witcher 3. Wild Hunt""^^xsd:string"
:WORK2,rdf:type,schema:VideoGame
:WORK2,schema:genre,"""Action-adventure rpg""^^xsd:string"
:WORK2,lrmoo:R16 was created by,:CREATION5
:CREATION5,rdf:type,lrmoo:F27 Work Creation
:CREATION5,cidoc:P14 carried out by,:ORGANIZATION12
:ORGANIZATION12,rdf:type,cidoc:E39 Actor
:ORGANIZATION12,rdf:type,schema:Organization
:ORGANIZATION12,schema:foundingDate,"""2002-02-01""^^xsd:date"
:ORGANIZATION12,schema:location,:COUNTRY64
:COUNTRY64,schema:name,"""Poland""^^xsd:string"
:COUNTRY64,predicate,schema:Country
:ORGANIZATION12,schema:name,"""CD Projekt Red""^^xsd:string"
:ORGANIZATION13,schema:subOrganization,:ORGANIZATION12
:ORGANIZATION13,schema:name,"""CD Projekt""^^xsd:string"
:ORGANIZATION13,rdf:type,schema:Organization
:EXPRESSION,rdf:type,cidoc:E33 Linguistic Object
:EXPRESSION,cidoc:P72 has language,:Language1
:Language1,predicate,cidoc:E56 Language
:Language1,rdfs:label,"""Ita""^^xsd:string"
:EXPRESSION4,cidoc:P72 has language,:Language2
:Language2,predicate,cidoc:E56 Language
:Language2,rdfs:label,"""Ita""^^xsd:string"
:MANIFESTATION2,rdf:type,schema:VideoGame
:EXPRESSION4,schema:gameEdition,"""Game of the Year edition""^^xsd:string"
:MANIFESTATION2,schema:gamePlatform,"""Playstation 4""^^xsd:string"
:MANIFESTATION2,schema:datePublished,"""2016""^^xsd:date"
:MANIFESTATION2,schema:releasedEvent,:RELEASE1
:RELEASE1,rdf:type,schema:PublicationEvent
:RELEASE1,schema:publishedBy,:ORGANIZATION485
:ORGANIZATION485,rdf:type,schema:Organization
:ORGANIZATION485,schema:name,"""Sony Interactive Entertainment""^^xsd:string"
:RELEASE1,schema:location,:COUNTRY354
:COUNTRY354,rdf:type,schema:Country
:COUNTRY354,schema:name,"""Italy""^^xsd:string"
:RELEASE1,schema:publishedBy,:ORGANIZATION403
:ORGANIZATION403,rdf:type,schema:Organization
:ORGANIZATION403,schema:name,"""Bandai Namco""^^xsd:string"
:COUNTRY356,rdf:type,schema:Country
:COUNTRY356,schema:name,"""Japan""^^xsd:string"
:ORGANIZATION403,schema:location,:COUNTRY356
:COUNTRY356,schema:founder,:PERSON3947
:PERSON3947,rdf:type,schema:Person
:PERSON3947,schema:name,"""Masaya Nakamura""^^xsd:string"
:COUNTRY356,schema:foundingDate,"""2006-03-31""^^xsd:date"
:ITEM2,dcterms:format,"""1 Blue Ray disc: color, audio""^^xsd:string"
:ORGANIZATION403,owl:sameAs,https://viaf.org/viaf/146997314/
:SPECIFICCREATURE,rdf:type,Legendary Creatures
:CREATURESGROUP1,rdf:type,Legendary Creatures
:CREATURESGROUP2,rdf:type,Legendary Creatures
:SPECIFICCREATURE,rdf:type,Legendary Creatures
:CREATURESGROUP3,rdf:type,Legendary Creatures
:CREATURESGROUP4,rdf:type,Legendary Creatures
Legendary Creatures,rdf:type,cidoc:E28 Conceptual Object
