Original_Subject,Original_Predicate,Original_Object,Standardized_Subject,Standardized_Predicate,Standardized_Object
Home-video edition of the italian version of Nosferatu (1922),EAN,8019824918844,schema:VideoObject,schema:productID,8019824918844
Nosferatu (1922),hasGenre,Horror,schema:Movie,schema:genre,schema:Thing
Friedrich W. Murnau,
ce,Bielefeld,foaf:Person,schema:birthPlace,schema:Place
Friedrich W. Murnau,dateOfBirth,28/12/1888,foaf:Person,schema:birthDate,1888-12-28
Friedrich W. Murnau,dateOfDeath,11/3/1931,foaf:Person,schema:deathDate,1931-03-11
Nosferatu (1922),countryOfProduciton,Germany,schema:Movie,schema:countryOfOrigin,schema:Country
Greta Schroeder,partOf,Cast,schema:Person,schema:memberOf,schema:Organization
Gustav von Wangenheim,partOf,Cast,schema:Person,schema:memberOf,schema:Organization
Max Schreck,partOf,Cast,schema:Person,schema:memberOf,schema:Organization
Nosferatu (1922),cidoc:P102 has title,"'Nosferatu, eine Symphonie des Grauens'",schema:Movie,dcterms:title,schema:name
The National Gallery (Organization),basedIn,The National gallery building,org:Organization,schema:location,schema:Place
Ermitage,foundationYear,1988,org:Organization,schema:foundingDate,1988
Ermitage,foundedBy,Founder,org:Organization,schema:founder,schema:Organization
Nicola Raffaele Di Matteo,constituentOf,Founder,foaf:Person,schema:memberOf,schema:Organization
Gianni Salvioni,constituentOf,Founder,foaf:Person,schema:memberOf,schema:Organization
Ermitage,basedIn,Paris,org:Organization,schema:location,schema:Place
Nosferatu (1922),,1922,schema:Movie,schema:dateCreated,1922
Nosferatu (1922),inception,1922,schema:Movie,schema:dateCreated,1922
